,APP_Libelle_etablissement,Adresse_2_UA,Code_postal,Libelle_commune,Numero_inspection,Date_inspection,APP_Libelle_activite_etablissement,Synthese_eval_sanit,Agrement,filtre,lat,lon
5293,CARNIATO EUROPE,"6, ROUTE DE STAINS",94380,Bonneuil-sur-Marne,21-073667-1,2021-09-15T02:00:00+02:00,Transformation de produits de la pêche,Très satisfaisant,94011001.0,,48.779545,2.492618
5364,O'BLOOD,37 AVENUE MAURICE THOREZ,94200,Ivry-sur-Seine,21-103397-1,2021-12-16T01:00:00+01:00,Restaurant,Satisfaisant,,Restaurant,48.819268,2.373949
5366,FACTORY & CO LAB,128 B AV JEAN JAURES,94200,Ivry-sur-Seine,21-030019-1,2021-04-15T02:00:00+02:00,Transformation de produits de la pêche,Très satisfaisant,94041041.0,,48.80522,2.404684
5373,ASSOCIATION TOUPTY,71 RUE DE BRANDEBOURG,94200,Ivry-sur-Seine,21-071729-1,2021-09-08T02:00:00+02:00,Restauration collective,Très satisfaisant,,Restauration collective,48.814459,2.393141
5378,SANAGA,35 RUE AUGUSTE DAIX,94260,Fresnes,21-108239-1,2022-01-27T01:00:00+01:00,Restaurant,Satisfaisant,,Restaurant,48.752518,2.318326
5409,SARL KL,6 RUE CHARLES DE GAULLE,94140,Alfortville,22-003879-1,2022-01-20T01:00:00+01:00,Restaurant,A améliorer,,Restaurant,48.814454,2.412713
5424,BLANC,69 C ALLEE DE SETE,94150,Rungis,21-067616-1,2021-11-17T01:00:00+01:00,Mareyage et préparation de produits de la pêche,Très satisfaisant,94065409.0,,48.757383,2.352523
5479,SOFRILOG ORLY,3 A 7 RUE DU KEFIR,94567,Orly,22-014543-1,2022-02-24T01:00:00+01:00,Entreposage de distribution de denrées alimentaires,Très satisfaisant,94054139.0,,,
5485,STEF,2 QUAI DE BOULOGNE,94150,Rungis,21-101222-1,2021-12-09T01:00:00+01:00,Entreposage de distribution de denrées alimentaires,Très satisfaisant,94065005.0,,48.759019,2.351833
5522,SIVU RESTAURATION MUNICIPALE DES VILLES,3 AVENUE DES ROSES,94380,Bonneuil-sur-Marne,21-037377-1,2021-05-11T02:00:00+02:00,Restauration collective,Très satisfaisant,94011006.0,Restauration collective,48.765229,2.493303
5599,TANG FRERES,153 BD DE STALINGRAD,94400,Vitry-sur-Seine,21-091411-1,2021-11-04T01:00:00+01:00,Vivier produits de la pêche,Très satisfaisant,94081019.0,,48.800075,2.380303
5657,ROJDA,31 AV DE PARIS,94300,Vincennes,21-047617-1,2021-06-15T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.845212,2.430649
5658,FACTORY & CO LAB,128 B AV JEAN JAURES,94200,Ivry-sur-Seine,21-030003-1,2021-04-15T02:00:00+02:00,Entreposage de distribution de denrées alimentaires,Très satisfaisant,,,48.80522,2.404684
5667,ALL FRESH,27 bis rue CHARLES VII,94130,Nogent-sur-Marne,21-066091-1,2021-08-19T02:00:00+02:00,Restaurant,Très satisfaisant,,Restaurant,48.836334,2.487481
5669,FRENCH GRILLADES,16 RUE VICTOR BASCH,94300,Vincennes,21-047670-1,2021-06-15T02:00:00+02:00,Restaurant,A améliorer,,Restaurant,48.847523,2.427499
5670,CHICKEN FIRST FRESNES,44 AV PAUL VAILLANT COUTURIER,94260,Fresnes,21-069451-1,2021-09-01T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.760407,2.317953
5673,FACTORY & CO LAB,128 B AV JEAN JAURES,94200,Ivry-sur-Seine,21-030033-1,2021-04-15T02:00:00+02:00,Transformation de produits carnés,Très satisfaisant,94041041.0,,48.80522,2.404684
5678,LES CAVES DU MOUTIER,3 RUE DU MOUTIER,94370,Sucy-en-Brie,22-008456-1,2022-02-03T01:00:00+01:00,Fromagerie,Satisfaisant,,Fromagerie,48.769393,2.520713
5679,FACTORY & CO LAB,128 B AV JEAN JAURES,94200,Ivry-sur-Seine,21-030005-1,2021-04-15T02:00:00+02:00,Découpe de viandes de volailles/lagomorphe,Très satisfaisant,94041041.0,,48.80522,2.404684
5704,TANG FRERES,153 BD DE STALINGRAD,94400,Vitry-sur-Seine,21-091406-1,2021-11-04T01:00:00+01:00,Mareyage et préparation de produits de la pêche,Très satisfaisant,94081019.0,,48.800075,2.380303
5713,TANG FRERES,153 BD DE STALINGRAD,94400,Vitry-sur-Seine,21-091364-1,2021-11-04T01:00:00+01:00,Entreposage de distribution de denrées alimentaires,Très satisfaisant,94081019.0,,48.800075,2.380303
5738,ECOLE MATERNELLE PUBLIQUE PAUL DOUMER,164 AVENUE PIERRE BROSSOLETTE,94170,Le Perreux-sur-Marne,21-025248-1,2021-03-25T01:00:00+01:00,Restauration collective,Très satisfaisant,,Restauration collective,48.834572,2.508442
5762,KOYAMA SUSHI,14 AVENUE DU GENERAL DE GAULLE,94420,Le Plessis-Trévise,21-051132-1,2021-06-22T02:00:00+02:00,Restaurant,Très satisfaisant,,Restaurant,48.80926,2.575348
5763,TANG FRERES,153 BD DE STALINGRAD,94400,Vitry-sur-Seine,21-091396-1,2021-11-04T01:00:00+01:00,Découpe de viandes de volailles/lagomorphe,Très satisfaisant,94081019.0,,48.800075,2.380303
5769,TANG FRERES,153 BD DE STALINGRAD,94400,Vitry-sur-Seine,21-091358-1,2021-11-04T01:00:00+01:00,Découpe de viande de boucherie,Très satisfaisant,94081019.0,,48.800075,2.380303
5772,TANG FRERES,153 BD DE STALINGRAD,94400,Vitry-sur-Seine,21-091402-1,2021-11-04T01:00:00+01:00,Transformation de produits carnés,Très satisfaisant,94081019.0,,48.800075,2.380303
5820,SCHENKER FRANCE,17 RUE DU KEFIR,94537,Orly,21-028205-1,2021-04-08T02:00:00+02:00,Entreposage de distribution de denrées alimentaires,Très satisfaisant,94054140.0,,48.748808,2.3939
5912,LE R ATELIER GOURMAND,AVENUE DES BRUYERES,94440,Marolles-en-Brie,22-008855-1,2022-02-04T01:00:00+01:00,Restaurant,A améliorer,,Restaurant,48.738613,2.553677
5927,ISATIS,10 RUE BOURGELAT,94700,Maisons-Alfort,21-068343-1,2021-08-30T02:00:00+02:00,Restauration collective,Satisfaisant,,Restauration collective,48.815485,2.418612
5936,OGEC ECOLE PRIVEE STE THERESE,"3, RUE DES TILLEULS",94500,Champigny-sur-Marne,21-084348-1,2021-10-11T02:00:00+02:00,Restauration collective,Satisfaisant,,Restauration collective,48.823903,2.504075
5984,YAKINIKU,9 RUE DE L ABREUVOIR,94150,Rungis,21-036708-1,2021-05-07T02:00:00+02:00,Restaurant,Très satisfaisant,,Restaurant,48.747251,2.348241
5985,GOOD TIME,3 RUE DU COMMANDANT MOWAT,94300,Vincennes,21-071428-1,2021-09-07T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.84835,2.44576
6055,SODIVILLETTE,5 RUE DE L AUBRAC MIN,94565,Rungis,21-073447-1,2021-09-07T02:00:00+02:00,Transport de denrées alimentaires,Satisfaisant,,,48.757174,2.363222
6074,ORIGAMI,100 BD DE BELLECHASSE,94100,Saint-Maur-des-Fossés,21-048533-1,2021-06-17T02:00:00+02:00,Restaurant,A améliorer,,Restaurant,48.793817,2.495474
6077,OMAXX,6 PL JEANNE D ARC,94290,Villeneuve-le-Roi,21-048505-1,2021-06-10T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.732877,2.424342
6131,ALVI 2000 JOUHAUD COTTIN,2 RUE DU GERS,94535,Rungis,21-036619-1,2021-04-15T02:00:00+02:00,Entreposage de viande de volailles,Très satisfaisant,94065515.0,,,
6243,LE CYRANO,16 AV PAUL VAILLANT-COUTURIER,94400,Vitry-sur-Seine,21-093316-1,2021-11-18T01:00:00+01:00,Restaurant,Satisfaisant,,Restaurant,48.799701,2.401065
6277,SULTAN'S CHOISY,62 AV VICTOR HUGO,94600,Choisy-le-Roi,21-064653-1,2021-08-11T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.768779,2.421158
6292,CAFE DE L ETOILE,30 RUE DE LA SABLONNIERE,94460,Valenton,22-001513-1,2022-01-11T01:00:00+01:00,Restaurant,Satisfaisant,,Restaurant,48.750176,2.453934
6379,VALENTON VIANDES ET VICTUAILLES,16 RUE DE LA SABLONNIERE,94460,Valenton,21-045094-1,2021-06-08T02:00:00+02:00,Commerce alimentaire,Très satisfaisant,,,48.751278,2.454396
