Rgp;Rgp_lib;Dut;Dut_lib;Dut_sigle;Id Série ou type de Bac;Série ou type de Bac;Id Âge au bac;Âge au bac;Id Sexe;Sexe;Id Mention au Bac;Mention au Bac;Année de cohorte des données sur le passage entre L1 et L2;Effectif de néobacheliers de la cohorte;Passage en 2ème année de DUT en 1 an;Redoublement en 1ère année de DUT;Passage en 2ème année de DUT en 2 ans;Passage en 2ème année de DUT en 1 ou 2 ans;Année de cohorte des données sur la réussite en licence;Effectif de néobacheliers de la cohorte;Obtention du DUT en 2 ans;Obtention du DUT en 3 ans;Obtention du DUT en 2 ou 3 ans
SIMC;Sciences industrielles, matériaux, contrôle;PEC;Packaging, emballage et conditionnement;PEC;4;BAC STMG;R0;A l'heure ou en avance;1;Homme;C;Assez bien;2014;1.0;;;;;2013;1.0;1.0;0.0;1.0
SIMC;Sciences industrielles, matériaux, contrôle;PEC;Packaging, emballage et conditionnement;PEC;5;BAC technologique hors STMG;R1;En retard d'un an;2;Femme;C;Assez bien;2014;1.0;2.0;0.0;0.0;2;2013;1.0;1.0;0.0;1.0
SIMC;Sciences industrielles, matériaux, contrôle;QLIO;Qualité, logistique industrielle et organisation;QLIO;2;BAC ES;R1;En retard d'un an;1;Homme;B;Bien;2014;2.0;;;;;2013;2.0;2.0;0.0;2.0
SIMC;Sciences industrielles, matériaux, contrôle;QLIO;Qualité, logistique industrielle et organisation;QLIO;2;BAC ES;R1;En retard d'un an;1;Homme;P;Passable deuxième groupe;2014;7.0;4.0;2.0;2.0;6;2013;7.0;2.0;1.0;3.0
SIMC;Sciences industrielles, matériaux, contrôle;QLIO;Qualité, logistique industrielle et organisation;QLIO;2;BAC ES;R2;En retard de plus d'un an;1;Homme;P;Passable deuxième groupe;2014;1.0;0.0;0.0;0.0;0;2013;1.0;;;
SIMC;Sciences industrielles, matériaux, contrôle;QLIO;Qualité, logistique industrielle et organisation;QLIO;3;BAC S;R0;A l'heure ou en avance;2;Femme;C;Assez bien;2014;20.0;18.0;0.0;0.0;18;2013;20.0;19.0;0.0;19.0
SIMC;Sciences industrielles, matériaux, contrôle;QLIO;Qualité, logistique industrielle et organisation;QLIO;4;BAC STMG;R2;En retard de plus d'un an;1;Homme;Q;Inconnue;2014;1.0;;;;;2013;1.0;0.0;0.0;0.0
SIMC;Sciences industrielles, matériaux, contrôle;QLIO;Qualité, logistique industrielle et organisation;QLIO;5;BAC technologique hors STMG;R1;En retard d'un an;2;Femme;P;Passable deuxième groupe;2014;2.0;0.0;0.0;0.0;0;2013;2.0;;;
EAI;Électronique, automatique, informatique;RT;Réseaux et télécommunications;R&T;3;BAC S;R0;A l'heure ou en avance;1;Homme;P;Passable deuxième groupe;2014;43.0;34.0;15.0;12.0;46;2013;43.0;23.0;7.0;30.0
EAI;Électronique, automatique, informatique;RT;Réseaux et télécommunications;R&T;5;BAC technologique hors STMG;R2;En retard de plus d'un an;1;Homme;P;Passable deuxième groupe;2014;3.0;0.0;0.0;0.0;0;2013;3.0;;;
SIMC;Sciences industrielles, matériaux, contrôle;SGM;Sciences et génie des matériaux;SGM;2;BAC ES;R1;En retard d'un an;1;Homme;C;Assez bien;2014;1.0;1.0;0.0;0.0;1;2013;1.0;;;
SIMC;Sciences industrielles, matériaux, contrôle;SGM;Sciences et génie des matériaux;SGM;3;BAC S;R0;A l'heure ou en avance;1;Homme;Q;Inconnue;2014;3.0;3.0;1.0;1.0;4;2013;3.0;3.0;0.0;3.0
AGSC;Administration, gestion, statistique, commerce;STID;Statistique et informatique décisionnelle;STID;2;BAC ES;R0;A l'heure ou en avance;1;Homme;Q;Inconnue;2014;2.0;1.0;0.0;0.0;1;2013;2.0;2.0;0.0;2.0
AGSC;Administration, gestion, statistique, commerce;TC;Techniques de commercialisation;TC;1;BAC L;R0;A l'heure ou en avance;2;Femme;A;Très bien;2014;4.0;1.0;0.0;0.0;1;2013;4.0;4.0;0.0;4.0
AGSC;Administration, gestion, statistique, commerce;TC;Techniques de commercialisation;TC;1;BAC L;R0;A l'heure ou en avance;2;Femme;P;Passable deuxième groupe;2014;4.0;0.0;1.0;1.0;1;2013;4.0;1.0;2.0;3.0
AGSC;Administration, gestion, statistique, commerce;TC;Techniques de commercialisation;TC;2;BAC ES;R0;A l'heure ou en avance;1;Homme;P;Passable deuxième groupe;2014;46.0;52.0;5.0;5.0;57;2013;46.0;21.0;5.0;26.0
AGSC;Administration, gestion, statistique, commerce;TC;Techniques de commercialisation;TC;5;BAC technologique hors STMG;R2;En retard de plus d'un an;1;Homme;Q;Inconnue;2014;1.0;0.0;0.0;0.0;0;2013;1.0;;;
AGSC;Administration, gestion, statistique, commerce;TC;Techniques de commercialisation;TC;6;BAC professionnel;R4;Non pris en compte;1;Homme;P;Passable deuxième groupe;2014;2.0;;;;;2013;2.0;0.0;0.0;0.0
CES;Construction, énergie, sécurité;GCCD;Génie civil - Construction durable;GCCD;3;BAC S;R2;En retard de plus d'un an;2;Femme;D;Passable premier groupe;2014;2.0;4.0;1.0;1.0;5;2013;2.0;2.0;0.0;2.0
CES;Construction, énergie, sécurité;GCCD;Génie civil - Construction durable;GCCD;5;BAC technologique hors STMG;R2;En retard de plus d'un an;1;Homme;Q;Inconnue;2014;2.0;;;;;2013;2.0;1.0;1.0;2.0
EAI;Électronique, automatique, informatique;GE2I;Génie électrique et informatique industrielle;GE2I;2;BAC ES;R0;A l'heure ou en avance;1;Homme;P;Passable deuxième groupe;2014;1.0;1.0;0.0;0.0;1;2013;1.0;;;
EAI;Électronique, automatique, informatique;GE2I;Génie électrique et informatique industrielle;GE2I;3;BAC S;R2;En retard de plus d'un an;1;Homme;Q;Inconnue;2014;3.0;2.0;1.0;0.0;2;2013;3.0;1.0;2.0;3.0
EAI;Électronique, automatique, informatique;GE2I;Génie électrique et informatique industrielle;GE2I;5;BAC technologique hors STMG;R0;A l'heure ou en avance;1;Homme;B;Bien;2014;177.0;143.0;16.0;14.0;157;2013;177.0;129.0;21.0;150.0
AGSC;Administration, gestion, statistique, commerce;GEA;Gestion des entreprises et administrations;GEA;1;BAC L;R1;En retard d'un an;2;Femme;D;Passable premier groupe;2014;7.0;0.0;0.0;0.0;0;2013;7.0;3.0;3.0;6.0
AGSC;Administration, gestion, statistique, commerce;GEA;Gestion des entreprises et administrations;GEA;2;BAC ES;R0;A l'heure ou en avance;1;Homme;C;Assez bien;2014;685.0;498.0;40.0;33.0;531;2013;685.0;528.0;42.0;570.0
AGSC;Administration, gestion, statistique, commerce;GEA;Gestion des entreprises et administrations;GEA;3;BAC S;R2;En retard de plus d'un an;2;Femme;C;Assez bien;2014;1.0;1.0;0.0;0.0;1;2013;1.0;0.0;0.0;0.0
AGSC;Administration, gestion, statistique, commerce;GEA;Gestion des entreprises et administrations;GEA;3;BAC S;R2;En retard de plus d'un an;2;Femme;D;Passable premier groupe;2014;5.0;4.0;0.0;0.0;4;2013;5.0;4.0;1.0;5.0
AGSC;Administration, gestion, statistique, commerce;GEA;Gestion des entreprises et administrations;GEA;5;BAC technologique hors STMG;R0;A l'heure ou en avance;2;Femme;C;Assez bien;2014;6.0;3.0;1.0;1.0;4;2013;6.0;4.0;1.0;5.0
AGSC;Administration, gestion, statistique, commerce;GEA;Gestion des entreprises et administrations;GEA;6;BAC professionnel;R4;Non pris en compte;2;Femme;D;Passable premier groupe;2014;23.0;0.0;1.0;0.0;0;2013;23.0;3.0;2.0;5.0
SIMC;Sciences industrielles, matériaux, contrôle;GIM;Génie industriel et maintenance;GIM;2;BAC ES;R0;A l'heure ou en avance;1;Homme;A;Très bien;2014;1.0;0.0;0.0;0.0;0;2013;1.0;;;
AGSC;Administration, gestion, statistique, commerce;GLT;Gestion logistique et transport;GLT;2;BAC ES;R0;A l'heure ou en avance;1;Homme;A;Très bien;2014;3.0;3.0;0.0;0.0;3;2013;3.0;3.0;0.0;3.0
CBPI;Chimie, biologie, procédés industriels;CHIMIE;Chimie;;3;BAC S;R0;A l'heure ou en avance;1;Homme;C;Assez bien;2014;154.0;120.0;9.0;9.0;129;2013;154.0;121.0;13.0;134.0
AGSC;Administration, gestion, statistique, commerce;GACO;Gestion administrative et commerciale des organisations;GACO;1;BAC L;R0;A l'heure ou en avance;1;Homme;B;Bien;2014;2.0;0.0;2.0;2.0;2;2013;2.0;;;
CBPI;Chimie, biologie, procédés industriels;CHIMIE;Chimie;;6;BAC professionnel;R4;Non pris en compte;1;Homme;D;Passable premier groupe;2014;1.0;0.0;0.0;0.0;0;2013;1.0;;;
CBPI;Chimie, biologie, procédés industriels;CHIMIE;Chimie;;5;BAC technologique hors STMG;R1;En retard d'un an;1;Homme;B;Bien;2014;15.0;6.0;0.0;0.0;6;2013;15.0;8.0;1.0;9.0
AGSC;Administration, gestion, statistique, commerce;CJ;Carrières juridiques;CJ;2;BAC ES;R2;En retard de plus d'un an;1;Homme;D;Passable premier groupe;2014;1.0;0.0;0.0;0.0;0;2013;1.0;;;
AGSC;Administration, gestion, statistique, commerce;CJ;Carrières juridiques;CJ;5;BAC technologique hors STMG;R0;A l'heure ou en avance;2;Femme;B;Bien;2014;2.0;1.0;0.0;0.0;1;2013;2.0;;;
AGSC;Administration, gestion, statistique, commerce;GACO;Gestion administrative et commerciale des organisations;GACO;3;BAC S;R2;En retard de plus d'un an;2;Femme;D;Passable premier groupe;2014;1.0;0.0;0.0;0.0;0;2013;1.0;1.0;0.0;1.0
AGSC;Administration, gestion, statistique, commerce;GACO;Gestion administrative et commerciale des organisations;GACO;3;BAC S;R1;En retard d'un an;1;Homme;Q;Inconnue;2014;1.0;;;;;2013;1.0;0.0;0.0;0.0
CM;Communication et médiation;CS;Carrières sociales;CS;3;BAC S;R0;A l'heure ou en avance;2;Femme;D;Passable premier groupe;2014;22.0;24.0;0.0;0.0;24;2013;22.0;16.0;2.0;18.0
