,APP_Libelle_etablissement,Adresse_2_UA,Code_postal,Libelle_commune,Numero_inspection,Date_inspection,APP_Libelle_activite_etablissement,Synthese_eval_sanit,Agrement,filtre,lat,lon
276,LA FLAMME (LA FLAMME),136 AV DE LA DIVISION LECLERC,91310,LINAS,16121500,2021-08-09T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.626455,2.262572
290,LEROY SABOUH,29 GRANDE RUE,91580,ETRECHY,16030361,2021-05-11T02:00:00+02:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,48.492872,2.191428
302,L ORIENTAL (L ORIENTAL),175 AV HENRI BARBUSSE,91270,VIGNEUX SUR SEINE,16323852,2022-01-27T01:00:00+01:00,Restaurant,Satisfaisant,,Restaurant,48.703634,2.43202
317,C D R,129 RUE PDT FRANCOIS MITTERRAND,91160,LONGJUMEAU,16072157,2021-07-06T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.693596,2.293326
324,SHEHERAZADE (SCHEHERAZADE),193 AV GENERAL LECLERC,91190,GIF SUR YVETTE,16292517,2021-12-21T01:00:00+01:00,Restaurant,A améliorer,,Restaurant,48.703634,2.101519
325,KFC (CPE5VILLABE),PLAINE DES BRATEAUX,91100,VILLABE,15968546,2021-04-14T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.590254,2.441931
333,SARL FRANCK MARTIN,6 RUE DE CHARTRES,91410,DOURDAN,16111629,2021-07-29T02:00:00+02:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,48.529368,2.012457
345,SYBELLE,2 RUE DE PARON,91370,VERRIERES LE BUISSON,16046096,2021-06-17T02:00:00+02:00,Alimentation générale,Très satisfaisant,,Alimentation générale,48.747164,2.265699
380,PRONTO PIZZA,21  GRANDE RUE,91720,MAISSE,16262317,2021-12-03T01:00:00+01:00,Restaurant,A améliorer,,Restaurant,48.394075,2.378599
394,MERVEILLE D ASIE (ASIA WOK),4 ESPACE DES 3 QUARTIERS,91400,GOMETZ LA VILLE,16309773,2022-01-14T01:00:00+01:00,Restaurant,Satisfaisant,,Restaurant,48.669354,2.121125
400,"Chez Maria ""Churrasqueira"" (SARL CARVA)",18 VOIE DU MORT RU,91310,LONGPONT SUR ORGE,16038262,2021-06-11T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.652964,2.275912
426,VIA PIZZA (MDA),RUE BOIELDIEU,91240,SAINT MICHEL SUR ORGE,16039911,2021-06-14T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.630796,2.319023
444,AU FOUR AU MOULIN (MARGAUTINE),35 RUE DU GENERAL DE GAULLE,91610,BALLANCOURT SUR ESSONNE,16061428,2021-06-29T02:00:00+02:00,Boulangerie-Pâtisserie,Très satisfaisant,,Boulangerie-Pâtisserie,48.524654,2.384702
448,LE GOUT DU PARADIS,32 RUE DE LA PAPETERIE,91610,BALLANCOURT SUR ESSONNE,16012179,2021-05-25T02:00:00+02:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,48.527689,2.373287
452,AUX PETITS MACARONS,1 AV DE LA LIBERATION,91150,ETAMPES,16002144,2021-05-07T02:00:00+02:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,48.433145,2.15554
