web-scraper-order,web-scraper-start-url,userID,userID-href,name,uploads,subscribers,videoviews,country,channeltype,usercreated,grade,YouTube_Link-href,MonthlyEarnings,YearlyEarnings,,
1553042951-5119,https://socialblade.com/youtube/top/5000/mostsubscribed,Felipe Neto,https://socialblade.com/youtube/c/felipenetodeverdade,Felipe Neto,1646,31355944,6316964355,BR,Entertainment,"May 16th, 2006",A,https://youtube.com/channel/UCV306eHqgo0LvBf3Mh36AHg,?61.1K - ?977.4K,?733.1K - ?11.7M,,
1553042955-5120,https://socialblade.com/youtube/top/5000/mostsubscribed,TheEllenShow,https://socialblade.com/youtube/c/ellen,TheEllenShow,10029,31338665,15227530790,US,Entertainment,"Nov 21st, 2006",A,https://youtube.com/channel/UCp0hYYBW6IMayGgR-WeoCvQ,?56.5K - ?904.7K,?678.5K - ?10.9M,,
1553042947-5118,https://socialblade.com/youtube/top/5000/mostsubscribed,Popular on YouTube,https://socialblade.com/youtube/channel/UCF0pVplsI8R5kcAqgtoRqoA,Popular on YouTube,0,29803590,0,,Games,"Dec 4th, 2013",D-,https://youtube.com/channel/UCF0pVplsI8R5kcAqgtoRqoA,?0 - ?0,?0 - ?0,,
1553042939-5116,https://socialblade.com/youtube/top/5000/mostsubscribed,YouTube,https://socialblade.com/youtube/c/spotlight,YouTube,288,28009035,1845149750,US,News,--,B,https://youtube.com/channel/UCBR8-60-B28hp2BmDPdntcQ,?1.2K - ?18.6K,?13.9K - ?222.8K,,
1553042935-5115,https://socialblade.com/youtube/top/5000/mostsubscribed,TaylorSwiftVEVO,https://socialblade.com/youtube/user/taylorswiftvevo,TaylorSwiftVEVO,82,27679085,16330049371,US,Music,"May 12th, 2009",A,https://youtube.com/channel/UCANLZYMidaCbLQFWXBC95Jg,?26K - ?416K,?312K - ?5M,,
1553042931-5114,https://socialblade.com/youtube/top/5000/mostsubscribed,EminemVEVO,https://socialblade.com/youtube/c/em%c4%b0nemvevo,EminemVEVO,84,26338163,12803106901,US,Music,"May 12th, 2009",A,https://youtube.com/channel/UC20vb-R_px4CguHzzBPhoyQ,?39.7K - ?634.9K,?476.2K - ?7.6M,,
1553042927-5113,https://socialblade.com/youtube/top/5000/mostsubscribed,KatyPerryVEVO,https://socialblade.com/youtube/user/katyperryvevo,KatyPerryVEVO,126,26319021,17127297666,US,Music,"Dec 13th, 2009",A,https://youtube.com/channel/UC-8Q-hLdECwQmaWNwXitYDw,?35.8K - ?572.8K,?429.6K - ?6.9M,,
1553042923-5112,https://socialblade.com/youtube/top/5000/mostsubscribed,RihannaVEVO,https://socialblade.com/youtube/user/rihannavevo,RihannaVEVO,106,26296627,13769077694,US,Music,"May 12th, 2009",A,https://youtube.com/channel/UC2xskkQVFEpLcGFnNSLQY0A,?23.9K - ?381.7K,?286.3K - ?4.6M,,
1553042919-5111,https://socialblade.com/youtube/top/5000/mostsubscribed,VEGETTA777,https://socialblade.com/youtube/user/vegetta777,VEGETTA777,5102,26160012,10173166025,ES,Games,"Mar 2nd, 2008",A,https://youtube.com/channel/UCam8T03EOFBsNdR0thrFHdQ,?26.3K - ?421.3K,?316K - ?5.1M,,
1553042915-5110,https://socialblade.com/youtube/top/5000/mostsubscribed,Trap Nation,https://socialblade.com/youtube/c/-trapnation,Trap Nation,1615,25617837,8927735808,US,Music,"Sep 23rd, 2012",A,https://youtube.com/channel/UCa10nxShhzNrCE1o2ZOPztg,?39.3K - ?628.6K,?471.5K - ?7.5M,,
1553042911-5109,https://socialblade.com/youtube/top/5000/mostsubscribed,Zee TV,https://socialblade.com/youtube/user/zeetv,Zee TV,62179,25451192,18159686947,IN,Entertainment,"Dec 11th, 2005",A++,https://youtube.com/channel/UCppHT7SZKKvar4Oc9J4oljQ,?245.2K - ?3.9M,?2.9M - ?47.1M,,
1553042899-5106,https://socialblade.com/youtube/top/5000/mostsubscribed,Maroon 5,https://socialblade.com/youtube/user/maroon5,Maroon 5,153,24795239,225292873,US,Music,"Mar 9th, 2006",B-,https://youtube.com/channel/UCBVjMGOIkavEAhyqpxJ73Dw,?127 - ?2K,?1.5K - ?24.4K,,
1553042895-5105,https://socialblade.com/youtube/top/5000/mostsubscribed,Luis Fonsi,https://socialblade.com/youtube/user/luisfonsivivo,Luis Fonsi,73,24598214,16299923,US,Entertainment,"Feb 25th, 2014",B-,https://youtube.com/channel/UCxoq-PAQeAdk_zyg8YS0JqA,?41 - ?658,?494 - ?7.9K,,
1553042891-5104,https://socialblade.com/youtube/top/5000/mostsubscribed,BRIGHT SIDE,https://socialblade.com/youtube/channel/UC4rlAVgAK0SGk-yTfe48Qpw,BRIGHT SIDE,2291,24547659,4413453709,,Howto,"Mar 15th, 2017",A,https://youtube.com/channel/UC4rlAVgAK0SGk-yTfe48Qpw,?40.3K - ?644.5K,?483.4K - ?7.7M,,
1553042887-5103,https://socialblade.com/youtube/top/5000/mostsubscribed,VanossGaming,https://socialblade.com/youtube/user/vanossgaming,VanossGaming,959,24323495,10656216668,CA,Games,"Sep 15th, 2011",A,https://youtube.com/channel/UCKqH_9mk1waLgBiL2vT5b9g,?25.3K - ?404.9K,?303.7K - ?4.9M,,
1553042884-5102,https://socialblade.com/youtube/top/5000/mostsubscribed,Bruno Mars,https://socialblade.com/youtube/c/brunomars,Bruno Mars,67,24296338,10426428760,US,Music,"Sep 19th, 2006",A,https://youtube.com/channel/UCoUM-UJ7rirJYP8CQ0EIaHA,?27.8K - ?445.1K,?333.8K - ?5.3M,,
1553042879-5101,https://socialblade.com/youtube/top/5000/mostsubscribed,Smosh,https://socialblade.com/youtube/c/smosh,Smosh,1039,24168806,8253579897,US,Comedy,"Nov 19th, 2005",A,https://youtube.com/channel/UCY30JRSgfhYXA6i6xX1erWg,?17.7K - ?282.6K,?212K - ?3.4M,,
1553042875-5100,https://socialblade.com/youtube/top/5000/mostsubscribed,Sony Music India,https://socialblade.com/youtube/c/sonymusicindia,Sony Music India,2414,24026890,9396840796,IN,Music,"Sep 2nd, 2009",A,https://youtube.com/channel/UC56gTxNs4f9xZ7Pa2i5xNzg,?64.5K - ?1M,?774.3K - ?12.4M,,
1553042871-5099,https://socialblade.com/youtube/top/5000/mostsubscribed,Movieclips,https://socialblade.com/youtube/c/movieclipsvideos,Movieclips,31912,23912506,21548229627,US,Film,"Apr 28th, 2006",A+,https://youtube.com/channel/UC3gNmTGu-TTbFPpfSs5kNkg,?173.4K - ?2.8M,?2.1M - ?33.3M,,
1553042863-5097,https://socialblade.com/youtube/top/5000/mostsubscribed,Yuya,https://socialblade.com/youtube/user/lady16makeup,Yuya,592,23501019,2376565163,MX,Howto,"Sep 20th, 2009",B,https://youtube.com/channel/UCBNs31xysxpAGMheg8OrngA,?1.9K - ?29.7K,?22.3K - ?356.3K,,
1553042851-5094,https://socialblade.com/youtube/top/5000/mostsubscribed,OneDirectionVEVO,https://socialblade.com/youtube/c/@onedirectionvevo,OneDirectionVEVO,171,23172454,8636687095,GB,Music,"Dec 4th, 2010",A-,https://youtube.com/channel/UCbW18JZRgko_mOGm5er8Yzg,?12.2K - ?194.4K,?145.8K - ?2.3M,,
1553042843-5092,https://socialblade.com/youtube/top/5000/mostsubscribed,Voc? Sabia?,https://socialblade.com/youtube/c/vcsabiavideos,Voc? Sabia?,789,23099626,2632287523,BR,Entertainment,"Sep 1st, 2013",A,https://youtube.com/channel/UCj0O6W8yDuLg3iraAXKgCrQ,?37.1K - ?594.2K,?445.6K - ?7.1M,,
1553042839-5091,https://socialblade.com/youtube/top/5000/mostsubscribed,rezendeevil,https://socialblade.com/youtube/user/rezendeevil,rezendeevil,7283,22756174,7836859636,BR,Entertainment,"Feb 12th, 2012",A,https://youtube.com/channel/UCbTVTephX30ZhQF5zwFppBg,?27.8K - ?444.6K,?333.5K - ?5.3M,,
1553042835-5090,https://socialblade.com/youtube/top/5000/mostsubscribed,[????] ToyPudding TV,https://socialblade.com/youtube/user/toypudding,[????] ToyPudding TV,2513,22745819,13595988869,US,Entertainment,"May 13th, 2014",A,https://youtube.com/channel/UCKqx9r4mrFglauNBJc1L_eg,?54.1K - ?865K,?648.7K - ?10.4M,,
1553042828-5088,https://socialblade.com/youtube/top/5000/mostsubscribed,ChuChu TV Nursery Rhymes & Kids?,https://socialblade.com/youtube/c/chuchutv,ChuChu TV Nursery Rhymes & Kids Songs,296,22624029,16876807897,IN,Education,"Feb 9th, 2013",A,https://youtube.com/channel/UCBnZ16ahKA2DZ_T5W0FPUXg,?52.7K - ?843K,?632.2K - ?10.1M,,
1553042819-5086,https://socialblade.com/youtube/top/5000/mostsubscribed,GR6 EXPLODE,https://socialblade.com/youtube/user/gr6explode,GR6 EXPLODE,2775,22448166,10459994915,BR,Music,"Aug 5th, 2014",A+,https://youtube.com/channel/UCNUQK9mQoqi4yNXw2_Rj6SA,?100.3K - ?1.6M,?1.2M - ?19.3M,,
1553042824-5087,https://socialblade.com/youtube/top/5000/mostsubscribed,BillionSurpriseToys - Nursery?,https://socialblade.com/youtube/c/billionsurprisetoystm,BillionSurpriseToys - Nursery Rhymes & Songs,262,22438752,7634457490,MX,Education,"Oct 25th, 2013",A,https://youtube.com/channel/UCRx3mKNUdl8QE06nEug7p6Q,?69.7K - ?1.1M,?836.4K - ?13.4M,,
1553042815-5085,https://socialblade.com/youtube/top/5000/mostsubscribed,Luisito Comunica,https://socialblade.com/youtube/user/luisitocomunicaa,Luisito Comunica,610,22368894,2627691916,MX,Comedy,"Apr 15th, 2012",A,https://youtube.com/channel/UCECJDeK0MNapZbpaOzxrUPA,?24.5K - ?391.4K,?293.5K - ?4.7M,,
1553042811-5084,https://socialblade.com/youtube/top/5000/mostsubscribed,Alan Walker,https://socialblade.com/youtube/c/alanwalkermusic,Alan Walker,173,22328931,5981936573,NO,Music,"Aug 25th, 2012",A,https://youtube.com/channel/UCJrOtniJ0-NWz37R30urifQ,?39K - ?623.8K,?467.8K - ?7.5M,,
1553042803-5082,https://socialblade.com/youtube/top/5000/mostsubscribed,ibighit,https://socialblade.com/youtube/user/ibighit,ibighit,298,22089490,4918936986,KR,Music,"Jun 4th, 2008",A,https://youtube.com/channel/UC3IZKseVpdzPSBaWxBxundA,?56.7K - ?907.4K,?680.6K - ?10.9M,,
1553042799-5081,https://socialblade.com/youtube/top/5000/mostsubscribed,? Kids Diana Show,https://socialblade.com/youtube/c/kidsdianashow,? Kids Diana Show,545,21887636,6783279009,US,Entertainment,"May 12th, 2015",A+,https://youtube.com/channel/UCk8GzjMOrta8yxDcKfylJYw,?131.5K - ?2.1M,?1.6M - ?25.3M,,
1553042791-5079,https://socialblade.com/youtube/top/5000/mostsubscribed,Ninja,https://socialblade.com/youtube/c/ninja,Ninja,857,21759421,1775517995,US,Games,"Nov 11th, 2011",B+,https://youtube.com/channel/UCAW-NpUFkMyCNrvRSSGIvDQ,?11.8K - ?189.4K,?142K - ?2.3M,,
1553042787-5078,https://socialblade.com/youtube/top/5000/mostsubscribed,jacksepticeye,https://socialblade.com/youtube/c/jacksepticeye,jacksepticeye,4060,21734897,10783296802,IE,Games,"Feb 24th, 2007",A,https://youtube.com/channel/UCYzPXprvl5Y-Sf0g4vX-m6g,?24.9K - ?398.5K,?298.9K - ?4.8M,,
1553042783-5077,https://socialblade.com/youtube/top/5000/mostsubscribed,Speed Records,https://socialblade.com/youtube/user/speedrecordss,Speed Records,6690,21662675,10746125458,IN,Music,"Nov 22nd, 2012",A+,https://youtube.com/channel/UCOsyDsO5tIt-VZ1iwjdQmew,?106.4K - ?1.7M,?1.3M - ?20.4M,,
1553042766-5073,https://socialblade.com/youtube/top/5000/mostsubscribed,shane,https://socialblade.com/youtube/user/shane,shane,1698,21245806,4860084042,US,Comedy,"Sep 22nd, 2005",A,https://youtube.com/channel/UCV9_KinVpV-snHe3C3n1hvA,?22.3K - ?356.9K,?267.7K - ?4.3M,,
1553042763-5072,https://socialblade.com/youtube/top/5000/mostsubscribed,NoCopyrightSounds,https://socialblade.com/youtube/c/-nocopyrightsounds,NoCopyrightSounds,602,21123917,5882394358,GB,Music,"Aug 14th, 2011",A,https://youtube.com/channel/UC_aEa8K-EOJ3D6gOs7HcyNg,?35.2K - ?563.6K,?422.7K - ?6.8M,,
1553042758-5071,https://socialblade.com/youtube/top/5000/mostsubscribed,Selena Gomez,https://socialblade.com/youtube/c/selenagomez,Selena Gomez,170,20752656,472992261,US,Film,"Feb 8th, 2008",B,https://youtube.com/channel/UCPNxhDvTcytIdvwXWAm43cA,?1K - ?16.1K,?12.1K - ?193.5K,,
1553042754-5070,https://socialblade.com/youtube/top/5000/mostsubscribed,J Balvin,https://socialblade.com/youtube/user/jbalvintube,J Balvin,39,20371997,114188432,CO,Music,"Feb 18th, 2011",B-,https://youtube.com/channel/UCt-k6JwNWHMXDBGm9IYHdsg,?57 - ?907,?680 - ?10.9K,,
1553042746-5068,https://socialblade.com/youtube/top/5000/mostsubscribed,The Tonight Show Starring Jimmy?,https://socialblade.com/youtube/c/thetonightshowstarringjimmyfallon,The Tonight Show Starring Jimmy Fallon,5084,20323868,10883936623,US,Comedy,"Jan 8th, 2006",A,https://youtube.com/channel/UC8-Th83bH_thdKZDJCrn88g,?36.6K - ?586.1K,?439.6K - ?7M,,
1553042742-5067,https://socialblade.com/youtube/top/5000/mostsubscribed,El Reino Infantil,https://socialblade.com/youtube/c/elreinoinfantil,El Reino Infantil,710,20272228,19539301311,AR,Music,"Jun 2nd, 2011",A+,https://youtube.com/channel/UCK1i2UviaXLUNrZlAFpw_jA,?127.7K - ?2M,?1.5M - ?24.5M,,
1553042734-5065,https://socialblade.com/youtube/top/5000/mostsubscribed,Like Nastya Vlog,https://socialblade.com/youtube/channel/UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya Vlog,231,20260198,7912134752,RU,People,"Dec 6th, 2016",A++,https://youtube.com/channel/UCJplp5SjeGSdVdwsfb9Q7lQ,?244.4K - ?3.9M,?2.9M - ?46.9M,,
1553042730-5064,https://socialblade.com/youtube/top/5000/mostsubscribed,BLACKPINK,https://socialblade.com/youtube/c/blackpinkofficial,BLACKPINK,216,20177528,4916071565,KR,People,"Jun 29th, 2016",A,https://youtube.com/channel/UCOmHUn--16B90oW2L6FRR3A,?62.6K - ?1M,?751.1K - ?12M,,
1553042722-5062,https://socialblade.com/youtube/top/5000/mostsubscribed,Daddy Yankee,https://socialblade.com/youtube/c/daddyyankee,Daddy Yankee,332,20111083,7077962964,PR,Music,"May 16th, 2011",A+,https://youtube.com/channel/UC9TO_oo4c_LrOiKNaY6aysA,?91.8K - ?1.5M,?1.1M - ?17.6M,,
1553042726-5063,https://socialblade.com/youtube/top/5000/mostsubscribed,KSI,https://socialblade.com/youtube/c/ksi,KSI,1184,20108741,4730806918,GB,Entertainment,"Jul 25th, 2009",B+,https://youtube.com/channel/UCVtFOytbRpEvzLjvqGG5gxQ,?5.6K - ?89.8K,?67.4K - ?1.1M,,
1553042718-5061,https://socialblade.com/youtube/top/5000/mostsubscribed,WORLDSTARHIPHOP,https://socialblade.com/youtube/c/worldstarhiphop,WORLDSTARHIPHOP,5242,20094259,13972441230,US,Music,"Nov 8th, 2008",A,https://youtube.com/channel/UC-yXuc1__OzjwpsJPlxYUCQ,?87.7K - ?1.4M,?1.1M - ?16.8M,,
1553042714-5060,https://socialblade.com/youtube/top/5000/mostsubscribed,David Guetta,https://socialblade.com/youtube/user/davidguettavevo,David Guetta,488,20031301,11099656270,US,Music,"Dec 11th, 2009",A,https://youtube.com/channel/UC1l7wYrva1qCH-wgqcHaaRg,?35.9K - ?574.7K,?431K - ?6.9M,,
1553042706-5058,https://socialblade.com/youtube/top/5000/mostsubscribed,SonyMusicIndiaVEVO,https://socialblade.com/youtube/user/sonymusicindiavevo,SonyMusicIndiaVEVO,2994,19905287,8770486131,US,Music,"Sep 2nd, 2009",A+,https://youtube.com/channel/UC3MLnJtqc_phABBriLRhtgQ,?91.9K - ?1.5M,?1.1M - ?17.7M,,
1553042704-5057,https://socialblade.com/youtube/top/5000/mostsubscribed,shakiraVEVO,https://socialblade.com/youtube/user/shakiravevo,shakiraVEVO,144,19412733,15695906119,US,Music,"Sep 2nd, 2009",A,https://youtube.com/channel/UCGnjeahCJW1AF34HBmQTJ-Q,?33.2K - ?531.1K,?398.3K - ?6.4M,,
1553042698-5056,https://socialblade.com/youtube/top/5000/mostsubscribed,JennaMarbles,https://socialblade.com/youtube/user/jennamarbles,JennaMarbles,441,19401558,3070410584,US,Comedy,"Feb 16th, 2010",A-,https://youtube.com/channel/UC9gFih9rw0zNCK3ZtoKQQyA,?12.5K - ?200.5K,?150.4K - ?2.4M,,
1553042690-5054,https://socialblade.com/youtube/top/5000/mostsubscribed,Maluma,https://socialblade.com/youtube/channel/UClZuKq2m0Qu-HkopkSBLpEw,Maluma,1,18956717,689349,,Music,"Mar 23rd, 2018",C,https://youtube.com/channel/UClZuKq2m0Qu-HkopkSBLpEw,?3 - ?44,?33 - ?531,,
1553042686-5053,https://socialblade.com/youtube/top/5000/mostsubscribed,ArianaGrandeVevo,https://socialblade.com/youtube/user/arianagrandevevo,ArianaGrandeVevo,106,18897200,11322822518,US,Music,"Oct 21st, 2010",A,https://youtube.com/channel/UC0VOyT2OCBKdQhF3BAbZ-1g,?85.7K - ?1.4M,?1M - ?16.5M,,
1553042678-5051,https://socialblade.com/youtube/top/5000/mostsubscribed,Logan Paul Vlogs,https://socialblade.com/youtube/c/loganpaulvlogs,Logan Paul Vlogs,605,18850921,4305096047,US,Entertainment,"Aug 29th, 2015",A-,https://youtube.com/channel/UCG8rbF3g2AMX70yOd8vqIZg,?13.5K - ?215.9K,?161.9K - ?2.6M,,
1553042671-5049,https://socialblade.com/youtube/top/5000/mostsubscribed,The Late Late Show with James?,https://socialblade.com/youtube/user/thelatelateshow,The Late Late Show with James Corden,3291,18712067,5655145610,US,Entertainment,"Nov 21st, 2006",A,https://youtube.com/channel/UCJ0uqCI0Vqr2Rrt1HseGirg,?51.2K - ?818.8K,?614.1K - ?9.8M,,
1553042666-5048,https://socialblade.com/youtube/top/5000/mostsubscribed,Ryan ToysReview,https://socialblade.com/youtube/c/ryantoysreview,Ryan ToysReview,1327,18664546,28167288987,US,Entertainment,"Mar 17th, 2015",A+,https://youtube.com/channel/UChGJGhZ9SOOHvBB0Y4DOO_w,?140.2K - ?2.2M,?1.7M - ?26.9M,,
1553042662-5047,https://socialblade.com/youtube/top/5000/mostsubscribed,BuzzFeedVideo,https://socialblade.com/youtube/c/buzzfeedvideo,BuzzFeedVideo,5916,18609118,14931199045,US,People,"Aug 10th, 2011",A,https://youtube.com/channel/UCpko_-a4wgz2u_DgDgd9fqA,?29.3K - ?468.8K,?351.6K - ?5.6M,,
1553042658-5046,https://socialblade.com/youtube/top/5000/mostsubscribed,Skrillex,https://socialblade.com/youtube/c/skrillex,Skrillex,164,18597928,4978843432,US,Music,"Apr 6th, 2010",B+,https://youtube.com/channel/UC_TVqp_SyG6j5hG-xVRy95A,?8.4K - ?134K,?100.5K - ?1.6M,,
1553042646-5043,https://socialblade.com/youtube/top/5000/mostsubscribed,Nicki Minaj,https://socialblade.com/youtube/c/nicki-minaj,Nicki Minaj,18,18450682,87946475,US,Music,"Aug 28th, 2013",B-,https://youtube.com/channel/UC3jOd7GUMhpgJRBhiLzuLsg,?116 - ?1.9K,?1.4K - ?22.2K,,
1553042644-5042,https://socialblade.com/youtube/top/5000/mostsubscribed,LuisFonsiVEVO,https://socialblade.com/youtube/user/luisfonsivevo,LuisFonsiVEVO,66,18382658,10510276244,US,Music,"May 12th, 2009",A,https://youtube.com/channel/UCLp8RBhQHu9wSsq62j_Md6A,?45.4K - ?726.5K,?544.9K - ?8.7M,,
