,APP_Libelle_etablissement,Adresse_2_UA,Code_postal,Libelle_commune,Numero_inspection,Date_inspection,APP_Libelle_activite_etablissement,Synthese_eval_sanit,Agrement,filtre,lat,lon
54,CENTRE HOSPITALIER GENERAL,Avenue Léon Blum,60000,Beauvais,21-060789-1,2021-07-27T02:00:00+02:00,Restauration collective,Très satisfaisant,60057020.0,Restauration collective,49.45111,2.072654
55,SOCIETE LAITIERE DE CLERMONT,"2, Rue Henri Breuil",60600,Clermont,22-011314-1,2022-01-04T01:00:00+01:00,Entreposage de distribution de denrées alimentaires,Très satisfaisant,60157031.0,,49.385071999999994,2.410879
56,R PREETHY,72 RUE VOLTAIRE,60160,Montataire,22-004180-1,2022-01-18T01:00:00+01:00,Libre service|Alimentation générale,Satisfaisant,,Libre service|Alimentation générale,49.25855,2.429574
57,LE JANVILLE,65 RUE RENE RICHARD,60150,Janville,22-004425-1,2022-01-21T01:00:00+01:00,Restaurant,A améliorer,,Restaurant,49.454102,2.861581
58,DALI RESTAURATION,29 RUE DU PORT A BATEAUX,60200,Compiègne,21-061140-1,2021-08-02T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,49.414978000000005,2.820366
59,EPICERIE DU COIN,30 RUE ROGER SALENGRO,60160,Montataire,22-004411-1,2022-01-18T01:00:00+01:00,Restaurant,A améliorer,,Restaurant,49.261415,2.429853
60,LE JARDIN DU CLOITRE,9 rue saint corneille,60200,Compiègne,22-005025-1,2022-01-24T01:00:00+01:00,Restaurant,Satisfaisant,,Restaurant,49.417289000000004,2.8247619999999998
61,PIZZA LINA,23 RUE ROGER SALENGRO,60160,Montataire,22-004810-1,2022-01-18T01:00:00+01:00,Restaurant,A améliorer,,Restaurant,49.260781,2.430047
62,CAISSE PRIMAIRE D ASSURANCE MALADIE,1 RUE DE SAVOIE,60000,Beauvais,22-001095-1,2022-01-07T01:00:00+01:00,Restauration collective,Satisfaisant,,Restauration collective,49.437892,2.09985
63,LEFEBVRE BRUNO,8 B PL MAURICE SEGONDS,60930,Bailleul-sur-Thérain,22-004917-1,2022-01-19T01:00:00+01:00,Fromagerie,Satisfaisant,,Fromagerie,49.383137,2.223923
64,COLGATE-PALMOLIVE INDUSTRIEL,avenue du vermandois,60200,Compiègne,21-057348-1,2021-07-19T02:00:00+02:00,Restauration collective,Satisfaisant,,Restauration collective,49.429369,2.838595
65,BOUCHERIE HECQUET,6 PL GEORGES TAINTURIER,60940,Cinqueux,22-005109-1,2022-01-14T01:00:00+01:00,Traiteur|Boucherie-Charcuterie,A améliorer,,Traiteur|Boucherie-Charcuterie,49.319362,2.526332
66,ELRES,400 RUE PATRICK SIMIAND,60700,Les Ageux,21-081593-1,2021-10-01T02:00:00+02:00,Restauration collective,Très satisfaisant,,Restauration collective,49.310679,2.5995630000000003
67,PIZZA VENEZIA,12 RUE DE PARIS,60530,Neuilly-en-Thelle,21-076812-1,2021-09-22T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,49.223421,2.284293
68,CARREFOUR MARKET,rue des hiebles,60120,Breteuil,22-005537-1,2022-01-03T01:00:00+01:00,Rayon traiteur|Rayon boucherie-charcuterie,Satisfaisant,,Rayon traiteur|Rayon boucherie-charcuterie,49.637546,2.2861130000000003
69,CARREFOUR MARKET,rue des hiebles,60120,Breteuil,22-005670-1,2022-01-03T01:00:00+01:00,Rayon fromagerie,Satisfaisant,,Rayon fromagerie,49.637546,2.2861130000000003
