ndeg_auto;dep;nom;region_administrative;adresse;code_insee;commune;situation_geographique;ecrans;fauteuils;semaines_d_activite;seances;entrees;entrees_2015;evolution_entrees;tranche_d_entrees;proprietaire;programmateur;ae;categorie_art_et_essai;label_art_et_essai;genre;multiplexe;nombre_de_films_programmes;nombre_de_films_inedits;nombre_de_films_en_semaine_1;pdm_en_entrees_des_films_francais;pdm_en_entrees_des_films_americains;pdm_en_entrees_des_films_europeens;pdm_en_entrees_des_autres_films;films_art_et_essai;part_des_seances_de_films_art_et_essai;pdm_en_entrees_des_films_art_et_essai;geo
5861.0;75;MK2 BASTILLE;ILE-DE-FRANCE;3 BD R LENOIR 4/6 BD BEAUMARCHAI;75111;Paris 11e Arrondissement;Paris;4;469;53;8139;228732;236823;3.4;De 200 à 300 000 entrées;MK2 CINEMAS;MK2;non;non classé;;fixe;non;116;94;65;50.4166410834;36.5674914698;7.55567640583;5.4601910409;97;86.3342452126;84.2430727938;48.854674,2.369381
6212.0;75;MK2 NATION;ILE-DE-FRANCE;133 BOULEVARD DIDEROT;75112;Paris 12e Arrondissement;Paris;4;976;53;8343;241215;256927;6.1;De 200 à 300 000 entrées;MK2 CINEMAS;MK2;non;non classé;;fixe;non;147;109;73;59.1185423184;31.9425889913;6.24841464446;2.69045404583;79;42.8113044551;44.3151264057;48.848213,2.39311
6531.0;75;UGC LYON BASTILLE;ILE-DE-FRANCE;12 RUE DE LYON;75112;Paris 12e Arrondissement;Paris;7;1274;53;14009;347318;350319;0.9;De 300 à 450 000 entrées;UGC SAS;UGC;non;non classé;;fixe;non;191;134;122;36.26388497;46.8999591153;13.0713064108;3.76484950391;53;9.41537582982;7.42835096367;48.847502,2.371855
6611.0;75;UGC CINE CITE BERCY;ILE-DE-FRANCE;2 COUR SAINT-EMILION;75112;Paris 12e Arrondissement;Paris;18;4440;53;40129;2061609;2043868;0.9;De 2 à 3 millions d'entrées;UGC CINE CITE ILE DE FRANCE;UGC;non;non classé;;fixe;oui;333;295;293;28.8856823936;55.560746664;13.5167064021;2.03686454027;118;26.9937426769;18.9727342027;48.833595,2.38604
7231.0;75;CHAPLIN SAINT LAMBERT;ILE-DE-FRANCE;6 RUE PECLET;75115;Paris 15e Arrondissement;Paris;3;365;53;5435;85003;89021;4.5;De 80 à 100 000 entrées;CINEMA CHAPLIN CHAPEAU MELON DISTRIBUTION;NC;oui;catégorie A;RDJPPR;fixe;non;413;247;5;51.9229784401;26.6349157577;15.0932042813;6.34890152097;291;69.8415841584;65.7487069186;48.843204,2.298558
7394.0;75;GAUMONT CONVENTION;ILE-DE-FRANCE;27 RUE ALAIN CHARTIER;75115;Paris 15e Arrondissement;Paris;9;1263;53;18684;439311;336009;30.7;De 300 à 450 000 entrées;GAUMONT;Les cinemas GAUMONT-PATHE;non;non classé;;fixe;oui;210;183;171;53.9393304953;31.7393630633;11.3199339335;3.00137250797;102;50.5553758223;45.4118687045;48.837759,2.296259
7491.0;75;GAUMONT AQUABOULEVARD;ILE-DE-FRANCE;8/16 RUE DU COLONEL PIERRE AVIA;75115;Paris 15e Arrondissement;Paris;14;2583;53;29208;736176;829436;11.2;De 700 000 à 1 million d'entrées;GAUMONT;Les cinemas GAUMONT-PATHE;non;non classé;;fixe;oui;236;209;209;23.4010424211;62.4534340588;12.0612278923;2.08429562779;29;7.93869467884;4.90899996994;48.830408,2.276322
7711.0;75;GAUMONT MONTPARNOS;ILE-DE-FRANCE;16 18 RUE D ODESSA;75114;Paris 14e Arrondissement;Paris;4;397;53;8424;174511;186205;6.3;De 150 à 200 000 entrées;CINEMAS RYTMANN SAS;Les cinemas GAUMONT-PATHE;non;non classé;;fixe;non;121;112;36;47.1019018858;33.4827030961;18.0183484136;1.39704660451;64;58.5707502374;55.8486284532;48.841914,2.324596
8132.0;75;GAUMONT ALESIA;ILE-DE-FRANCE;73 AVENUE DU GENERAL LECLERC;75114;Paris 14e Arrondissement;Paris;8;1384;53;17119;463114;214819;115.6;De 450 à 700 000 entrées;GAUMONT;Les cinemas GAUMONT-PATHE;non;non classé;;fixe;oui;171;150;147;38.8154261521;48.746701847;9.96809228692;2.46977971406;42;22.1555123904;22.0454684911;48.828166,2.327463
8161.0;75;CHAPLIN DENFERT;ILE-DE-FRANCE;24 PLACE DENFERT ROCHEREAU;75114;Paris 14e Arrondissement;Paris;1;133;53;1789;36535;39845;8.3;De 30 à 40 000 entrées;SOCIETE D'EXPLOITATION DU THEATRE DENFERT ROCHEREAU;NC;oui;catégorie A;RDJPPR;fixe;non;258;147;0;52.4462876922;25.1426611369;15.7878324862;6.62321868471;191;70.8701134931;70.385730768;48.833879,2.330976
