titre,nationalité,sortie,entrées (millions)
"BELLE ET SEBASTIEN 3, LE DERNIER CHAPITRE",FR,14/02/18,"1,68"
EN EAUX TROUBLES,US,22/08/18,"1,62"
JEU (LE),FR,17/10/18,"1,59"
FERDINAND,US,20/12/17,"1,42"
LA NONNE,US,19/09/18,"1,39"
LA FORME DE L'EAU,US,21/02/18,"1,38"
SOLO : A STAR WARS STORY,US,23/05/18,"1,37"
COCO,US,29/11/17,"1,35"
PENTAGON PAPERS,US,24/01/18,"1,34"
BLACKKKLANSMAN,US,22/08/18,"1,31"
TOMB RAIDER,GB,14/03/18,"1,26"
"NEUILLY SA MERE, SA MERE",FR,08/08/18,"1,15"
AMERICAN NIGHTMARE 4 LES ORIGINES,US,04/07/18,"1,03"
PREMIERE ANNEE,FR,12/09/18,"1,01"
LE ROI LION,USA,17/07/19,"9,82"
AVENGERS : ENDGAME,USA,24/04/19,"6,82"
LA REINE DES NEIGES II,USA,20/11/19,"6,73"
QU'EST-CE QU'ON A ENCORE FAIT AU BON DIEU ?,FR / BE,30/01/19,"6,71"
JOKER,USA,09/10/19,"5,57"
TOY STORY 4,USA,26/06/19,"4,51"
"STAR WARS : EPISODE 9, L'ASCENSION DE SKYWALKER",USA,18/12/19,"4,37"
DRAGONS 3 : LE MONDE CACHE,USA,06/02/19,"3,39"
CAPTAIN MARVEL,USA,06/03/19,"3,31"
SPIDER-MAN : FAR FROM HOME,USA,03/07/19,"3,23"
NOUS FINIRONS ENSEMBLE,FR,01/05/19,"2,79"
MALEFIQUE : LE POUVOIR DU MAL,USA,16/10/19,"2,66"
ONCE UPON A TIME... IN HOLLYWOOD,USA,14/08/19,"2,64"
ALADDIN,USA,22/05/19,"2,46"
FAST & FURIOUS : HOBBS & SHAW,USA,07/08/2019,"2,45"
The ROOM,,23/06/03,"0,65"
JUMANJI : NEXT LEVEL,USA,04/12/19,"2,41"
DUMBO,USA,27/03/19,"2,35"
COMME DES BETES 2,USA,31/07/19,"2,31"
RALPH 2.0,USA,13/02/19,"2,27"
GREEN BOOK SUR LES ROUTES DU SUD,USA,23/01/19,"2,09"
HORS NORMES,FR,23/10/19,"2,08"
ALITA : BATTLE ANGEL,USA,13/02/19,"2,04"
ABOMINABLE,USA,23/10/19,"1,99"
AU NOM DE LA TERRE,FR,25/09/19,"1,97"
LA MULE,USA,23/01/19,"1,86"
LA VIE SCOLAIRE,FR,28/08/19,"1,81"
CREED II,USA,09/01/19,"1,73"
PARASITE,KS,05/06/19,"1,71"
LES MISERABLES,FR,20/11/19,"1,70"
POKEMON DETECTIVE PIKACHU,GB,08/05/19,"1,69"
NICKY LARSON ET LE PARFUM DE CUPIDON,FR,06/02/19,"1,68"
CHANT DU LOUP (LE),FR,20/02/19,"1,55"
CA CHAPITRE 2,USA,11/09/19,"1,49"
J'ACCUSE,FR / IT,13/11/19,"1,47"
DONNE MOI DES AILES,FR,09/10/19,"1,44"
LE PARC DES MERVEILLES,USA,03/04/19,"1,42"
X-MEN : DARK PHOENIX,USA,05/06/19,"1,41"
AQUAMAN,USA,19/12/18,"1,40"
INVISIBLES (LES),FR,09/01/19,"1,34"
GLASS,USA,16/01/19,"1,26"
BELLE EPOQUE (LA),FR,06/11/19,"1,26"
AFTER - CHAPITRE 1,USA,17/04/19,"1,23"
JOYEUSE RETRAITE,FR,20/11/19,"1,20"
C'EST QUOI CETTE MAMIES ?!,FR,07/08/19,"1,19"
LE MANS 66,USA,13/11/19,"1,10"
SHAZAM !,USA,03/04/19,"1,07"
ASTERIX ET LE SECRET DE LA POTION MAGIQUE,FR,05/12/18,"1,07"
AD ASTRA,USA,18/09/19,"1,05"
INSEPARABLES,FR,04/09/19,"1,04"
"TANGUY, LE RETOUR",FR,10/04/19,"1,03"
LA FAMILLE ADDAMS,USA,04/12/19,"1,00"
