,Session,Établissement,Filière de formation détaillée,Effectif total des candidats pour une formation,Dont effectif des candidates pour une formation,% d’admis dont filles,Capacité de l’établissement par formation,% d’admis néo bacheliers,Effectif des admis néo bacheliers,Effectif des admis néo bacheliers généraux,Effectif des admis néo bacheliers technologiques,Effectif des admis néo bacheliers professionnels,Effectif des autres candidats admis,Effectif des admis néo bacheliers généraux ayant eu une mention au bac,Effectif des admis néo bacheliers technologiques ayant eu une mention au bac,Effectif des admis néo bacheliers professionnels ayant eu une mention au bac,Total des effectifs ayant eu une mention,Dont effectif des admis néo bacheliers sans mention au bac,Dont effectif des admis néo bacheliers avec mention Assez Bien au bac,Dont effectif des admis néo bacheliers avec mention Bien au bac,Dont effectif des admis néo bacheliers avec mention Très Bien au bac,Académie de l’établissement
96,2019,I.U.T De Rouen - Site d'Elbeuf,Métiers du multimédia et de l'internet,1516,376,22.6640625,74.0,88.0,66,46,19,1,9,24,15,1,40,26,27,12,1,Rouen
97,2019,IUT Bordeaux Montaigne,Métiers du multimédia et de l'internet,1219,329,22.0,50.0,74.0,37,25,11,1,13,21,11,1,33,4,18,10,5,Bordeaux
98,2018,I.U.T. de Haguenau,Métiers du multimédia et de l'internet,979,236,50.0,60.0,82.8,53,36,17,0,11,24,13,0,37,16,26,9,2,Strasbourg
99,2018,I.U.T de Marne la Vallée - Antenne de Meaux,Métiers du multimédia et de l'internet,1482,386,49.1,52.0,84.9,45,29,16,0,8,21,15,0,36,9,21,14,1,Créteil
100,2018,I.U.T de Saint Dié - Université de Lorraine,Métiers du multimédia et de l'internet,576,132,45.3,54.0,67.9,36,23,12,1,17,17,9,1,27,9,17,7,3,Nancy-Metz
101,2018,I.U.T. de Mulhouse,Métiers du multimédia et de l'internet,861,230,42.1,56.0,68.4,39,26,11,2,18,19,8,2,29,10,14,10,5,Strasbourg
102,2018,I.U.T. de Bobigny - Université Paris 13,Métiers du multimédia et de l'internet,2736,683,41.5,52.0,73.6,39,27,12,0,14,17,12,0,29,10,16,13,0,Créteil
103,2018,I.U.T de Cergy-Pontoise - Site de Sarcelles,Métiers du multimédia et de l'internet,1917,495,40.0,60.0,68.3,41,24,17,0,19,9,17,0,26,15,12,12,2,Versailles
104,2018,I.U.T d'Allier - Antenne de Vichy,Métiers du multimédia et de l'internet,1196,322,39.2,52.0,72.5,37,23,12,2,14,17,11,2,30,6,16,12,2,Clermont-Ferrand
105,2018,I.U.T de Dijon,Métiers du multimédia et de l'internet,1714,453,38.4,78.0,82.5,71,48,23,0,15,42,20,0,62,9,42,19,1,Dijon
106,2018,I.U.T de Velizy,Métiers du multimédia et de l'internet,2214,583,37.5,58.0,80.3,45,28,16,1,11,21,14,1,36,9,23,12,1,Versailles
107,2018,I.U.T. Laval,Métiers du multimédia et de l'internet,752,175,37.2,78.0,87.2,68,46,22,0,10,41,20,0,61,7,28,28,5,Nantes
108,2018,I.U.T. de Lens,Métiers du multimédia et de l'internet,1224,290,35.7,98.0,69.4,68,36,31,1,30,26,24,1,51,17,22,19,10,Lille
109,2018,I.U.T. de Clermont-Ferrand - Antenne du Puy,Métiers du multimédia et de l'internet,1058,268,35.1,54.0,78.9,45,28,16,1,12,14,11,1,26,19,17,7,2,Clermont-Ferrand
110,2018,IUT de CHAMBERY,Métiers du multimédia et de l'internet,1098,292,35.0,52.0,83.3,50,34,16,0,10,31,14,0,45,5,20,17,8,Grenoble
111,2018,Iut De Troyes,Métiers du multimédia et de l'internet,799,182,34.2,112.0,70.1,82,59,19,4,35,27,19,4,50,32,34,14,2,Reims
112,2018,IUT Bordeaux Montaigne,Métiers du multimédia et de l'internet,1268,346,34.0,50.0,54.0,27,19,7,1,23,16,7,1,24,3,7,12,5,Bordeaux
113,2018,I.U.T de Toulon - Antenne de Toulon (porte d'Italie),Métiers du multimédia et de l'internet,1683,481,33.3,82.0,81.5,66,44,22,0,15,31,20,0,51,15,30,17,4,Nice
114,2018,I.U.T Nancy-Charlemagne - Université de Lorrraine,Métiers du multimédia et de l'internet,1093,245,32.1,52.0,75.0,42,30,11,1,14,23,8,1,32,8,23,4,5,Nancy-Metz
115,2018,I.U.T de Marne la Vallée,Métiers du multimédia et de l'internet,2683,679,32.1,52.0,84.9,45,30,15,0,8,22,14,0,36,9,14,16,6,Créteil
116,2018,I.U.T Cherbourg Manche (Antenne de Saint-Lô),Métiers du multimédia et de l'internet,979,254,31.6,56.0,84.2,48,30,16,2,9,21,15,2,38,10,23,13,2,Caen
117,2018,I.U.T De Rouen - Site d'Elbeuf,Métiers du multimédia et de l'internet,1292,292,30.6,75.0,86.1,62,45,16,1,10,28,14,1,43,19,26,13,4,Rouen
118,2018,I.U.T de Blois,Métiers du multimédia et de l'internet,1368,346,30.4,68.0,84.0,58,36,21,1,11,28,21,1,50,8,28,15,7,Orléans-Tours
119,2018,I.U.T de Belfort-Montbéliard - Site de Montbéliard,Métiers du multimédia et de l'internet,904,253,29.9,78.0,77.9,60,44,15,1,17,28,13,1,42,18,30,9,3,Besancon
120,2018,I.U.T. Angoulême,Métiers du multimédia et de l'internet,1626,423,29.2,58.0,83.1,54,33,20,1,11,25,18,1,44,10,22,18,4,Poitiers
121,2018,IUT 1 GRENOBLE,Métiers du multimédia et de l'internet,1986,509,29.0,93.0,78.5,73,45,26,2,20,41,20,2,63,10,34,21,8,Grenoble
122,2018,I.U.T de Béziers,Métiers du multimédia et de l'internet,1279,290,28.4,74.0,86.5,64,33,31,0,10,21,27,0,48,16,24,20,4,Montpellier
123,2018,I.U.T d'Aix-Marseille - Site d'Arles,Métiers du multimédia et de l'internet,1231,330,27.3,54.0,76.4,42,26,16,0,13,16,14,0,30,12,17,11,2,Aix-Marseille
124,2018,I.U.T de Tarbes,Métiers du multimédia et de l'internet,400,85,26.7,56.0,85.0,51,26,24,1,9,11,22,1,34,17,22,9,3,Toulouse
125,2018,I.U.T de Toulouse - Antenne de Castres,Métiers du multimédia et de l'internet,1075,223,19.6,54.0,50.0,28,13,15,0,28,10,14,0,24,4,15,9,0,Toulouse
126,2018,I.U.T de la Guadeloupe - Campus de St-Claude,Métiers du multimédia et de l'internet,362,82,18.9,40.0,73.0,27,10,16,1,10,3,7,1,11,16,10,1,0,Guadeloupe
127,2018,I.U.T de Corte,Métiers du multimédia et de l'internet,277,72,16.3,56.0,79.6,39,22,13,4,10,7,11,3,21,18,12,6,3,Corse
128,2018,I.U.T du Limousin - site de Limoges,Métiers du multimédia et de l'internet,1186,300,10.7,28.0,78.6,22,12,10,0,6,11,9,0,20,2,14,4,2,Limoges
