,APP_Libelle_etablissement,Adresse_2_UA,Code_postal,Libelle_commune,Numero_inspection,Date_inspection,APP_Libelle_activite_etablissement,Synthese_eval_sanit,Agrement,filtre,lat,lon
3647,RESIDENCE DES ROSEAUX,"4 bis, rue de la croix",77160,Chenoise-Cucharmoy,21-040546-1,2021-05-27T02:00:00+02:00,Restauration collective,Satisfaisant,77109001.0,Restauration collective,48.615567,3.187033
3991,REPOTEL,"512, Chemin d'Arvigny",77176,Savigny-le-Temple,21-095170-1,2021-11-24T01:00:00+01:00,Restauration collective,Satisfaisant,,Restauration collective,48.59375,2.577028
4241,LES AMIS DE KAREN ASSOCIATION,1 BIS ROUTE DE VALENCE,77670,Vernou-la-Celle-sur-Seine,21-044067-1,2021-06-07T02:00:00+02:00,Restauration collective,Satisfaisant,,Restauration collective,48.396069,2.869261
4312,FROMAGERIE LOISEAU,39 RUE CLOZEAU,77760,Achères-la-Forêt,21-065846-1,2021-07-08T02:00:00+02:00,Transformation de lait ou produits laitiers,Satisfaisant,77001001.0,,48.345432,2.564661
4498,SOCIETE EXPLOITATION CLINIQUE DE TOURNAN,"2, rue Jules Lefèvre",77220,Tournan-en-Brie,21-042634-1,2021-05-11T02:00:00+02:00,Restauration collective,Satisfaisant,,Restauration collective,48.742341,2.757855
4707,FAM LES PRES NEUFS,FAM LES PRES NEUFS,77000,Vaux-le-Pénil,21-038181-1,2021-05-17T02:00:00+02:00,Restauration collective,Satisfaisant,,Restauration collective,48.52075,2.718008
4817,LA CROIX BLANCHE,LA CROIX BLANCHE,77220,Tournan-en-Brie,21-079490-1,2021-10-04T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.739096,2.773685
5341,ASSOCIATION CLOS NOTRE DAME,RTE DE CHARTRETTE,77000,Livry-sur-Seine,21-040050-1,2021-05-25T02:00:00+02:00,Restauration collective,Satisfaisant,,Restauration collective,48.513846,2.681467
5356,ABBAYE DE NOTRE DAME,6 RUE MONTMORIN,77640,Jouarre,22-007972-1,2022-02-01T01:00:00+01:00,Restauration collective,Satisfaisant,,Restauration collective,48.926944,3.131771
5580,CHARDON MELANIE,35 RUE DES GALACHES,77460,Chaintreaux,21-076686-1,2021-09-24T02:00:00+02:00,Commerce alimentaire,Très satisfaisant,,,48.182096,2.797972
5606,ABATTOIR YOUSSFI,183 QUAI VOLTAIRE,77190,Dammarie-les-Lys,21-031129-1,2021-04-13T02:00:00+02:00,Chaîne d'abattage de volaille/lagomorphe/petit gibier,Très satisfaisant,77152001.0,,48.532844,2.64271
