,APP_Libelle_etablissement,Adresse_2_UA,Code_postal,Libelle_commune,Numero_inspection,Date_inspection,APP_Libelle_activite_etablissement,Synthese_eval_sanit,Agrement,filtre,lat,lon
31737,LAKUNOCH,14 PLACE JACQUES BONSERGENT,75010,Paris 10e  Arrondissement,21-044404-1,2021-05-10T02:00:00+02:00,Libre service|Alimentation générale,Très satisfaisant,,Libre service|Alimentation générale,48.871364,2.360818
31745,MONSIEUR CHOCOLAT,102 RUE CAMBRONNE,75015,Paris 15e  Arrondissement,20-087075-1,2020-12-08T01:00:00+01:00,Commerce alimentaire,Très satisfaisant,,,48.841086,2.303639
31746,IL VILLAGGIO,5 RUE CONSTANT BERTHAUT,75020,Paris 20e  Arrondissement,21-030423-1,2021-03-26T01:00:00+01:00,Restaurant,Satisfaisant,,Restaurant,48.874453,2.38919
31750,BOULANGERIE DES ENTREPRENEURS,65 BIS RUE DES ENTREPRENEURS,75015,Paris 15e  Arrondissement,21-080911-1,2021-10-06T02:00:00+02:00,Commerce alimentaire,Très satisfaisant,,,48.845329,2.28907
31752,LE VIGNY,"88, BOULEVARD DE COURCELLES",75017,Paris 17e  Arrondissement,21-082376-1,2021-10-12T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.879641,2.304586
31753,L'ETOILE MONTMARTRE,26 RUE DUHESME,75018,Paris 18e  Arrondissement,21-051621-1,2021-06-29T02:00:00+02:00,Restaurant,Très satisfaisant,,Restaurant,48.89101,2.339263
31755,BOUCHERIE LECOURBE,91 RUE LECOURBE,75015,Paris 15e  Arrondissement,20-086941-1,2020-12-08T01:00:00+01:00,Boucherie-Charcuterie,A améliorer,,Boucherie-Charcuterie,48.842936,2.304147
31757,ELIOR ENTREPRISES,8 BOULEVARD HAUSSMANN,75009,Paris 9e  Arrondissement,21-026946-1,2021-04-01T02:00:00+02:00,Restauration collective,Très satisfaisant,,Restauration collective,48.872279,2.338437
31767,PAROS,49 RUE BELGRAND,75020,Paris 20e  Arrondissement,21-012382-1,2021-02-08T01:00:00+01:00,Restaurant,Très satisfaisant,,Restaurant,48.864622,2.408208
31772,BAT PETITE ENFANCE,14 RUE DURANTI,75011,Paris 11e  Arrondissement,21-016617-1,2021-02-26T01:00:00+01:00,Restauration collective,Satisfaisant,,Restauration collective,48.859741,2.38381
